taxi_driver,trips,duration_average
264,16,865.8125
1030,1,318.0
1084,13,952.2307692307693
13,17,1055.2941176470588
1082,1,711.0
1063,16,966.8125
336,7,971.5714285714286
736,5,965.4
255,23,1337.0869565217392
1037,9,760.5555555555555
592,74,903.3378378378378
371,4,547.75
210,1,1360.0
421,1,1207.0
727,2,658.5
54,1,375.0
1149,4,1366.25
472,4,1034.75
1152,3,1314.6666666666667
957,1,592.0
757,2,1094.5
70,1,330.0
870,2,573.0
760,5,986.2
797,2,676.5
1184,5,1116.0
1210,1,761.0
83,1,1235.0
1201,1,518.0
164,17,956.5294117647059
478,27,878.3333333333334
30,22,674.2272727272727
511,4,1168.0
321,10,1131.3
589,11,1112.4545454545455
85,67,897.0
627,20,1018.8
833,22,716.8181818181819
821,3,731.6666666666666
196,10,774.7
344,1,915.0
603,10,740.1
93,48,975.6875
596,15,1001.8
898,1,653.0
158,2,1353.0
407,4,1022.5
519,1,533.0
913,23,928.9130434782609
170,56,937.8214285714286
287,24,818.625
449,2,928.0
877,34,781.2647058823529
146,15,1154.2666666666667
12,1,1024.0
950,14,980.2857142857143
186,3,857.6666666666666
610,7,1149.4285714285713
956,8,904.625
335,26,870.0
968,71,899.8169014084507
597,1,986.0
739,14,971.4285714285714
131,5,803.8
231,16,945.25
639,9,934.3333333333334
103,6,662.8333333333334
52,17,1033.5294117647059
629,4,810.0
311,18,888.7777777777778
508,2,546.5
136,10,856.8
697,70,903.4285714285714
1028,1,549.0
1049,70,959.6857142857143
648,12,1026.9166666666667
104,7,1041.7142857142858
1088,6,981.3333333333334
29,1,443.0
96,15,877.4666666666667
1038,17,997.2352941176471
68,1,1330.0
161,1,1995.0
1108,21,957.6190476190476
1113,3,796.0
497,3,383.3333333333333
971,12,865.5
613,1,589.0
400,10,1092.4
670,8,835.0
473,3,1149.6666666666667
1151,9,816.3333333333334
281,1,1687.0
40,4,824.75
217,10,884.7
1166,7,1121.7142857142858
370,2,478.5
1157,9,763.0
498,12,1053.0833333333333
778,1,551.0
1177,6,1081.0
583,8,843.375
1182,7,840.0
222,1,1667.0
714,1,1204.0
1214,3,1268.3333333333333
392,1,976.0
881,25,872.0
